Client ID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderId,IAId
IND17470,Stephen Daniels,20,27679,11-05-2010,Carl Nguyen,European,Director of Sales,Mid,Jade,121124.02,53804.40,1,7657.79,370608.78,1292973.24,317572.37,440971.92,43959.38,507670.96,2,3,2,1,12
IND90409,Ruth Sims,54,39013,15-06-2019,Bruce Porter,Asian,Geologist II,Low,Gold,46065.04,15053.60,1,639.27,286540.10,826638.75,173663.60,609559.24,18316.96,1111305.78,1,1,2,1,13
IND37142,Frances Ray,82,42895,18-03-2013,Dennis Morris,Australian,Help Desk Technician,Low,Gold,260944.03,21134.01,1,327.85,500216.98,298094.81,343955.55,81402.81,32642.73,904332.08,2,2,3,1,14
IND88367,Benjamin GoPKRales,46,23314,04-02-2008,Anthony Berry,African,Occupational Therapist,High,Gold,226151.90,6668.46,1,1245.08,446679.55,86326.27,117157.09,42546.52,2120.34,756362.75,3,2,3,1,15
IND58182,Tina West,58,5564,09-06-2004,Paul Larson,African,Budget/Accounting Analyst IV,Mid,Platinum,126577.50,7851.00,1,5217.30,1203236.10,181465.92,37805.40,100940.42,56313.90,1055124.00,1,3,3,1,1
IND35165,Edward Wilson,32,25364,18-01-2016,Ernest Rivera,Asian,Office Assistant III,Mid,Jade,249185.87,24091.08,3,4896.61,1252227.23,2569398.61,1275715.39,359536.13,33250.07,481759.11,3,3,3,2,2
IND24057,Ashley Burns,28,31081,29-09-2011,Jeremy Vasquez,European,General Manager,High,Jade,205494.12,14821.20,1,311.45,1886976.73,2365411.67,1544359.69,246315.60,33050.06,1779026.34,3,4,3,1,3
IND73753,Kelly Evans,37,11036,18-09-1999,Bobby Burton,African,Registered Nurse,High,Gold,27514.69,6758.00,1,472.39,72751.46,379435.57,289466.31,104755.51,19041.59,367893.84,1,1,3,1,4
IND23130,Jessica Moreno,66,22928,01-10-2021,Frank Brown,Asian,Media Manager I,Mid,Jade,292770.14,50378.40,2,2913.12,207917.14,359098.54,410398.33,60533.75,20133.29,437118.70,0,2,3,1,5
IND49045,Howard Hunter,17,42531,10-06-2004,Adam Hernandez,Australian,Paralegal,Mid,Platinum,198096.20,11072.16,2,6595.85,114777.98,917484.85,732223.49,121478.52,20052.03,1698348.54,0,4,4,2,6
IND15747,Earl Jordan,57,42864,08-02-2002,Anthony Simpson,Australian,Nurse Practicioner,High,Platinum,362306.18,44052.20,2,7059.63,964779.41,2774465.91,1439912.69,164360.77,23523.13,1068649.97,0,3,4,1,7
IND20560,Roger Wright,78,13518,09-11-2004,Stephen Payne,Asian,Staff Accountant IV,High,Jade,139988.22,11940.28,1,2725.87,935799.48,124273.65,26695.82,36600.89,26586.85,269082.00,1,2,3,2,8
IND89128,Nicholas Barnes,57,42936,24-10-2000,Roger Alexander,European,Data Coordiator,High,Jade,33068.70,33989.40,1,278.62,55472.27,96495.57,28319.35,88817.88,30365.66,256321.89,3,2,1,2,9
IND66207,Julie Fox,64,41092,05-08-2020,Joshua Ryan,European,Database Administrator II,High,Gold,174802.46,65530.92,1,6168.37,955717.01,1776637.42,448471.58,1225362.35,50727.61,499975.50,2,4,2,1,10
IND40294,Shawn Wallace,83,12377,12-10-2020,Jonathan Hawkins,European,Marketing Assistant,Mid,Platinum,61636.21,16324.70,3,3175.48,287448.70,103147.24,58137.53,26368.18,9625.77,99371.97,1,1,3,2,11
IND90506,Mark Harris,72,3383,08-04-2002,Donald Reynolds,Asian,Engineer IV,Low,Gold,95092.11,21094.15,1,6448.99,101219.03,677319.49,338659.74,242851.81,23398.06,203476.06,3,2,4,2,12
IND82575,Joyce Gardner,18,42011,14-06-2020,Jerry Green,American,Programmer Analyst II,High,Silver,137228.52,44184.40,1,1433.48,508536.52,115188.95,57594.48,171290.24,7320.46,900304.47,1,2,1,2,13
IND22602,Jimmy Brown,22,18592,04-08-2015,Benjamin Kim,African,Staff Accountant II,Mid,Jade,86940.95,12303.90,2,2040.85,216689.70,566112.05,210537.54,149247.72,5029.06,372413.20,0,1,1,2,14
IND32945,Willie Scott,77,36433,22-11-2006,Roger Alexander,American,Graphic Designer,High,Jade,248004.44,33819.76,1,577.38,189579.46,1052953.51,579477.77,85225.63,13528.13,2192573.71,2,2,1,2,15
IND24180,Andrew Collins,21,29021,15-10-2020,Bruce Porter,Asian,Recruiting Manager,Low,Silver,220337.08,25245.46,1,1881.86,744311.00,353911.49,109834.60,178176.13,13489.86,512965.60,1,2,2,1,16
IND43809,Lori Bishop,50,29484,29-10-2007,Jerry Green,European,Computer Systems Analyst III,High,Silver,338674.04,61516.20,1,344.33,67113.14,295854.26,309942.56,122943.88,621.72,952042.96,1,4,2,2,17
IND86910,Kelly Sullivan,31,3962,26-06-2021,Shawn Cook,Asian,Developer I,High,Jade,359289.60,68461.12,1,1015.11,993970.51,964151.40,815055.82,203962.75,38662.26,1492177.87,0,4,3,1,18
IND17854,Frank Turner,40,30951,28-08-2010,Jerry Green,European,Budget/Accounting Analyst IV,High,Jade,172210.31,13336.37,1,6019.43,1691022.41,1119262.60,613521.72,116403.31,23747.59,848784.54,3,3,3,1,19
IND82540,Adam Nichols,49,30950,22-04-2009,Anthony Berry,American,Accountant I,High,Jade,373315.24,55703.79,1,4560.00,1006783.09,688411.85,479567.81,323321.52,62882.58,510841.34,2,3,3,1,20
IND26234,Lillian Fisher,29,34719,30-08-1999,Joshua Ryan,Asian,Pharmacist,High,Jade,238756.39,33685.52,1,6721.44,75127.98,254032.81,184508.04,50565.90,47314.26,703736.44,0,4,3,2,21
IND38793,Stephen Rose,62,9401,22-04-2013,Dennis Morris,European,Quality Control Specialist,High,Jade,136993.01,26132.34,2,2899.87,328610.74,550592.01,308665.22,78083.96,27069.73,708248.46,3,1,3,1,22
IND49322,Steve Grant,59,5411,12-01-1996,Anthony Torres,European,Tax Accountant,High,Jade,104969.77,16207.79,1,4486.60,204480.31,1087915.49,566160.10,440605.77,57773.66,191774.98,2,4,3,1,1
IND86286,Benjamin Greene,18,15970,01-03-2016,George Lewis,Asian,VP Quality Control,Mid,Jade,55803.05,4509.56,2,2337.38,796661.79,1011369.95,423364.17,411133.65,35180.98,716234.57,3,2,3,2,2
IND92223,Samuel Harvey,59,18341,20-12-2014,George Lewis,American,Office Assistant III,Mid,Gold,59987.49,13287.68,1,920.08,897469.78,354030.90,130256.65,242444.37,17771.20,1437562.08,2,2,4,1,3
IND68280,Sean Peters,34,36480,28-03-2003,Shawn Wallace,Asian,Help Desk Technician,Low,Jade,70501.02,2847.80,1,1113.16,137866.30,190187.84,90959.40,180981.64,12921.86,371348.18,0,1,4,1,4
IND87450,Angela Ramos,37,1184,05-07-2007,Paul Holmes,American,Programmer I,High,Jade,59768.75,15256.25,1,1294.00,116161.00,106658.24,46662.98,99658.79,13589.20,137838.00,3,1,3,1,8
IND51266,Rebecca Hamilton,70,25316,05-06-2017,Shawn Wallace,Asian,Software Test Engineer IV,Mid,Jade,126495.38,26566.69,1,2357.38,298416.40,264490.46,188281.34,215806.28,15867.16,520962.55,3,1,1,1,9
IND68515,Ronald Reed,34,11154,04-12-2021,Frank Brown,Asian,Safety Technician II,High,Jade,446770.81,20431.73,2,1504.63,866230.45,3890598.08,1969923.08,482631.15,49155.13,1156672.62,2,4,2,1,10
IND22846,Kathy Ellis,82,6338,17-04-2020,Ernest Rivera,European,Safety Technician IV,High,Silver,303829.69,13388.07,1,2446.86,314467.32,59044.12,20410.31,30440.52,29712.24,899282.95,2,2,3,2,11
IND70559,Bobby Baker,60,40710,31-01-2019,James Castillo,European,Automation Specialist IV,Mid,Platinum,56861.37,20159.04,3,324.05,657736.00,1206135.00,705282.33,316865.98,16297.03,1656805.00,3,2,4,2,12
IND58661,Theresa Crawford,70,26906,25-12-1999,Shawn Cook,Australian,Administrative Officer,Mid,Silver,266959.84,24591.70,2,5225.56,628014.58,646178.74,576945.31,173083.59,941.98,509266.80,1,2,1,1,13
IND23121,Ralph Wright,49,3684,03-08-2015,Gregory Simmons,Asian,Electrical Engineer,Mid,Silver,162388.33,17051.40,1,418.61,230956.27,762328.25,418221.75,65591.99,459.43,1244204.71,2,2,1,1,14
IND75610,Randy Ross,80,4322,30-10-2020,Todd Roberts,European,Pharmacist,High,Gold,152605.64,16132.62,2,1094.21,283293.42,370664.48,248563.24,195013.12,25294.88,265156.75,2,1,1,2,15
IND96933,David Gomez,24,774,26-05-2011,Carl Nguyen,American,Recruiting Manager,High,Platinum,455859.89,20830.10,1,5386.42,807653.90,506526.41,168842.14,243793.36,65502.67,524468.24,0,4,2,1,1
IND59583,Sean Hart,43,35292,13-06-2001,Shawn Cook,Australian,VP Accounting,Low,Silver,244722.66,58019.35,1,5268.25,805464.63,335673.00,160539.26,293349.01,20436.52,1591663.47,0,5,2,2,2
IND64445,Melissa Young,68,20043,17-10-2012,Gregory Simmons,Asian,Programmer III,High,Jade,145929.00,9192.00,2,209.58,642987.72,528116.25,413585.02,211564.64,39254.44,207783.03,3,2,3,1,3
IND16141,Raymond Willis,18,15016,21-03-2005,Patrick Graham,Australian,Registered Nurse,Mid,Jade,340620.92,13051.75,2,1957.85,361330.66,408152.38,344818.39,190213.08,12113.47,1014594.79,2,3,3,1,4
IND16245,Howard Evans,36,17069,13-05-2008,Stephen Payne,American,Developer II,Low,Platinum,87756.88,13734.00,1,611.00,378562.60,127377.06,66138.09,29860.12,20495.02,86328.58,2,1,3,2,5
IND51347,Jennifer Tucker,69,25594,17-12-2014,Paul Larson,European,Biostatistician II,High,Gold,143783.20,9774.29,1,1838.16,222209.05,540814.57,373162.05,139151.59,15997.32,784376.32,0,1,3,1,6
IND74826,Todd Miller,28,29157,14-03-2019,Shawn Cook,European,Systems Administrator I,High,Jade,94100.43,17554.86,1,699.99,90544.73,650368.82,218658.48,355684.47,12835.21,273553.43,1,1,3,1,7
IND49841,Michelle Anderson,41,15087,14-01-2008,Paul Holmes,Australian,Automation Specialist III,High,Platinum,247280.35,17404.41,2,2403.72,143660.95,192955.96,291254.28,59707.13,15073.39,400699.72,0,2,3,1,8
IND92294,Randy Spencer,74,32199,24-08-2010,Dennis Ruiz,American,Budget/Accounting Analyst III,Low,Jade,331759.84,31363.64,1,2218.10,1000954.99,475504.33,324461.78,279596.55,51420.14,835541.25,3,3,3,1,9
IND13248,Brenda Montgomery,63,31760,26-01-2010,James Castillo,European,Web Developer I,Mid,Jade,67646.56,1606.25,1,1407.58,270694.94,27280.61,13010.75,14479.71,8318.70,238537.00,3,1,4,1,10
IND78119,Brian Richardson,19,40315,31-10-2008,Shawn Long,American,Physical Therapy Assistant,High,Jade,345696.55,10441.06,3,1818.71,717055.82,147698.37,113349.91,61895.92,5289.00,471020.00,3,3,4,1,11
IND45023,Carl Robinson,33,33592,24-05-2021,Bruce Porter,European,Safety Technician II,High,Jade,112870.08,32374.20,1,799.18,900385.93,1435680.24,396419.17,526487.51,28185.83,1417066.08,1,2,1,2,12
IND25976,Ruth Reyes,80,5071,13-12-2021,Donald Reynolds,European,Design Engineer,High,Platinum,163505.32,32595.12,2,4321.13,768675.87,1230159.33,299786.73,447715.97,55078.00,1126976.28,1,2,2,2,13
IND39108,Gary Taylor,46,38823,14-03-2015,Phillip Peters,European,Social Worker,High,Gold,221165.78,21311.16,1,7306.48,782563.02,2140190.29,781992.61,430644.70,20385.46,1253848.32,2,2,3,1,14
IND16958,Henry Holmes,81,36080,28-02-2017,Donald Reynolds,Asian,Automation Specialist IV,High,Gold,91667.36,22934.10,2,4658.15,257599.60,945239.66,462564.09,110143.88,38451.05,1143777.05,2,1,4,2,15
IND26204,Victor Young,36,6283,13-06-2012,Roy Rice,Australian,Quality Control Specialist,High,Jade,64318.50,22468.50,1,5126.54,535407.39,131688.70,55760.08,38355.82,33785.07,386056.89,3,2,1,2,16
IND99025,Judy Allen,69,1031,01-11-2000,Paul Larson,European,Human Resources Assistant I,High,Jade,47528.21,20520.08,1,5525.30,159111.39,936383.12,664271.79,170069.58,56265.96,705328.04,2,2,1,2,17
IND54417,Kathryn Lane,31,16098,18-07-2015,Shawn Long,American,VP Marketing,High,Jade,69757.28,46121.02,2,3893.16,438835.91,287835.91,113512.75,251025.34,14741.62,354068.52,2,2,1,2,18
IND76613,Robert Foster,76,2785,15-12-1995,Victor Ramos,Australian,Office Assistant III,Mid,Jade,89384.26,9857.40,1,4683.42,283922.73,99189.09,48933.28,18052.41,51384.06,608804.28,1,1,2,1,19
IND77083,Randy Watson,73,31085,05-10-2006,Shawn Long,European,Human Resources Assistant I,Low,Gold,137924.08,17677.20,1,3310.24,613845.52,269797.11,158704.18,168226.43,20991.26,868018.98,3,1,2,1,20
IND65802,Diane Phillips,46,32606,05-01-2014,Chris Armstrong,American,Clinical Specialist,Low,Platinum,54579.53,41182.70,2,4508.17,825130.85,1168651.99,332461.34,647997.38,53996.20,1012159.80,0,2,3,2,21
IND80061,Todd Davis,58,4609,09-07-2020,Patrick Graham,European,Staff Accountant III,Low,Jade,124234.27,8070.03,1,1035.86,153164.13,336228.37,205794.95,90781.66,20133.10,674567.26,2,1,3,2,22
IND68708,Roger Ferguson,65,15241,07-05-2010,Joshua Little,European,VP Product Management,High,Jade,223989.18,8430.24,3,5969.46,637300.87,532843.85,146038.69,243687.25,4696.38,930966.78,1,3,3,2,1
IND90486,James Schmidt,52,27231,13-02-2007,Paul Larson,Australian,Speech Pathologist,Mid,Silver,236722.44,47236.57,2,6535.20,535361.91,681186.57,396038.70,154455.09,11236.15,283675.88,3,2,3,2,2
IND78396,Anthony Howard,84,41213,24-06-2020,Joshua Little,European,Budget/Accounting Analyst II,Mid,Platinum,280142.40,42962.40,1,2230.20,1094204.92,0.00,0.00,0.00,21942.14,301544.21,2,2,3,1,3
IND80646,Carl Ross,37,41861,04-05-2009,Shawn Wallace,European,Office Assistant III,Mid,Gold,77026.85,27200.88,2,3224.84,350098.74,1032296.83,338963.14,470234.32,47135.63,543992.91,0,1,3,1,4
IND61166,Kevin Phillips,79,28691,26-05-2013,Raymond Alexander,Asian,Accounting Assistant IV,High,Silver,73475.15,38312.32,1,2055.21,203929.69,410919.01,305555.16,203562.95,33945.60,302462.78,0,2,3,2,8
IND64879,Shawn Garza,37,12428,25-11-2020,James Castillo,African,Sales Representative,Mid,Gold,193779.18,60467.30,1,7686.69,795551.65,627661.99,158329.15,386775.50,41536.64,331996.89,3,4,4,1,9
IND59415,Samuel Boyd,65,19815,26-10-1999,Victor Martinez,American,Human Resources Assistant I,High,Platinum,119101.35,35146.20,1,216.91,740668.24,222029.98,64933.30,130076.05,37738.33,326036.59,0,2,4,1,10
IND97044,Frank Franklin,27,10729,16-02-2000,Donald Reynolds,African,Research Assistant IV,High,Platinum,243077.73,34902.70,3,4071.31,222845.73,1042355.60,614245.26,389208.13,15041.04,1738690.13,3,2,1,1,11
IND68021,Donna Hayes,50,28581,21-10-2008,Phillip Peters,European,Account Representative III,Mid,Silver,161778.27,26341.20,1,2069.34,856379.12,693314.74,445090.94,402636.12,54605.23,777518.52,1,3,2,1,12
IND72946,David Rice,47,529,25-11-2006,Joe Price,Asian,Design Engineer,High,Jade,135668.24,4835.53,1,448.97,572186.71,446124.61,264886.49,203823.18,29308.26,243587.28,0,1,3,2,13
IND58634,Jonathan Carr,73,16304,03-01-2000,Carl Nguyen,European,Budget/Accounting Analyst I,Mid,Jade,283534.13,56172.75,1,1864.50,307744.80,556885.56,284771.03,313248.13,2139.06,731803.38,1,3,4,2,14
IND50985,Earl Harris,45,19619,26-10-2015,Jesse Evans,Australian,Accountant III,Mid,Gold,187068.34,33993.85,1,4178.48,937917.29,1303676.98,298932.30,441091.22,44780.25,1328572.47,0,2,1,2,15
IND23452,Jose Evans,30,17677,10-10-2001,Joshua Little,American,Accountant I,High,Gold,26691.56,2617.50,1,1493.72,234570.75,455937.82,242882.76,108104.14,17093.79,127376.01,0,1,1,2,1
IND77117,Annie Lewis,19,40157,08-09-1996,Roger Alexander,European,Community Outreach Specialist,Mid,Jade,40920.84,18679.98,1,889.71,516676.84,275056.64,168894.43,76726.32,8709.41,860302.06,3,1,1,1,2
IND19327,Johnny Murphy,27,17629,20-09-2020,Benjamin Kim,Asian,Structural Analysis Engineer,Mid,Jade,42085.37,16982.90,3,3804.62,339248.29,332126.05,210456.11,65109.86,45594.88,624929.72,0,2,2,1,3
IND96247,Michelle Pierce,38,12818,12-08-2009,Keith Griffin,European,Automation Specialist III,High,Platinum,182270.30,25891.20,2,1620.66,122514.24,156565.34,209738.48,104514.75,20617.51,1109415.87,0,5,2,2,4
IND40048,Beverly Woods,84,14033,06-06-2011,Gregory Simmons,Asian,Media Manager II,Mid,Jade,125120.17,20429.50,2,749.11,498763.36,776817.51,512187.37,249264.52,5281.37,1029228.29,3,2,3,2,5
IND29312,Frances Austin,53,3959,12-06-2001,Ernest Rivera,Asian,Web Developer I,High,Silver,121752.06,31512.96,1,2465.89,704962.44,391066.14,367000.53,150169.40,42508.91,600400.48,2,2,3,1,6
IND91194,Russell Perry,42,18232,15-06-1995,Shawn Cook,Australian,Staff Accountant II,Mid,Jade,190491.93,23924.88,1,1403.68,1366594.52,681478.11,234607.22,382298.05,8998.33,916987.23,1,2,3,2,7
IND29701,Ralph Sanders,68,42233,21-07-1996,Joe Price,African,Research Associate,High,Silver,347932.80,58421.60,2,622.30,257923.74,326853.43,248798.88,152986.92,41523.38,736855.82,0,3,3,2,8
IND76758,Walter Jones,63,16436,06-01-2008,Anthony Berry,European,Administrative Assistant III,Mid,Silver,183442.48,42297.04,1,1993.28,471206.78,126741.67,46412.44,138701.80,45712.21,311211.06,3,3,3,2,9
IND80021,Lisa Butler,67,39243,23-08-2009,Jonathan Hawkins,American,Associate Professor,Mid,Jade,74614.58,6165.88,3,461.44,90295.51,374513.19,135812.48,297799.72,70.83,131724.47,1,1,3,1,10
IND90597,Kimberly Garza,30,12601,05-03-2011,Joshua Bennett,American,Developer I,Low,Jade,423137.74,16354.00,1,1116.90,584990.91,530781.48,336161.60,641714.81,40540.92,0.00,2,4,3,1,11
IND36038,Jane Bowman,39,29534,16-04-1999,Keith Griffin,European,Computer Systems Analyst IV,High,Gold,126994.67,45002.16,3,918.84,816538.67,1418385.14,396667.03,563747.99,19105.38,1653331.26,3,2,4,2,12
IND65968,Nicholas Kelly,85,24050,14-08-2019,Joe Hanson,European,Software Engineer IV,Low,Silver,185416.36,50291.64,3,452.32,793668.26,1211394.09,600927.78,338808.80,86244.38,2623646.31,3,3,4,2,13
IND22142,Susan Cole,74,31952,20-03-1996,Jerry Green,Asian,Software Test Engineer II,Mid,Jade,296441.07,25646.92,1,2740.79,1423871.83,954905.24,477452.62,288225.48,32169.68,1595502.15,1,4,1,2,14
IND32126,Juan Rose,19,42021,10-06-2009,Frank Brown,European,Editor,Mid,Jade,66888.63,11009.31,1,2046.47,213976.71,420132.51,227571.78,140744.39,2146.06,561056.00,2,1,2,1,15
IND55096,Ernest Fernandez,63,16207,02-09-2000,Carl Nguyen,European,Recruiter,Mid,Jade,178742.31,18878.86,1,443.02,419469.23,147522.02,115304.57,46664.44,22403.60,706528.29,2,2,3,1,16
IND62447,Nicholas Ward,63,23549,25-09-2007,Joe Hanson,Asian,Senior Quality Engineer,Mid,Silver,88000.07,13229.92,1,2354.22,653528.89,1131215.03,463174.66,397617.63,9357.11,138982.50,2,2,4,2,17
IND68508,Ruby Robinson,78,35626,02-04-2015,Anthony Torres,European,Programmer IV,High,Silver,97918.08,30549.00,1,1832.15,782160.25,367026.67,286582.47,211869.92,34597.18,377680.39,1,2,1,1,18
IND69834,Amy Webb,70,35330,22-09-2019,Anthony Torres,European,Systems Administrator III,Low,Jade,328810.06,27827.28,1,3220.04,94231.12,284288.86,305347.30,218902.43,29725.70,140591.25,2,2,1,2,19
IND45589,Craig Ryan,77,34128,07-07-2012,Jerry Green,European,Database Administrator II,Low,Jade,99113.71,10702.23,3,4072.28,247887.42,697496.02,164948.38,238939.51,23459.81,587505.15,2,1,1,1,20
IND64345,Sara Phillips,84,30447,16-12-2002,James Castillo,Asian,Paralegal,Mid,Platinum,172352.72,4285.44,1,2762.38,172387.01,41045.71,19762.75,53435.43,7493.64,677016.23,2,2,2,1,21
IND77099,Ann Oliver,47,17273,23-10-2020,Dennis Ruiz,European,Automation Specialist III,Mid,Gold,170998.97,48033.37,2,6876.87,1354308.34,812601.79,300662.66,542655.48,38218.95,1687910.84,3,3,2,2,22
IND23075,Keith Smith,80,7473,10-07-2005,Stephen Payne,Australian,Web Developer I,Mid,Jade,357944.04,44053.20,2,9837.83,1687860.50,272673.23,123942.38,48750.67,49768.88,1512885.92,3,4,3,1,1
IND95786,George Medina,37,30336,10-07-2014,James Castillo,European,Design Engineer,Low,Jade,207395.96,26423.08,1,7882.74,593839.33,1353471.66,376529.71,782164.15,66350.34,1942767.02,2,3,3,2,2
IND30950,Gerald Griffin,44,11171,22-11-2000,Dennis Ruiz,Asian,Automation Specialist III,Mid,Jade,41423.42,18651.46,1,793.34,503119.15,59947.95,32737.54,6356.18,19520.45,887127.67,1,1,3,1,3
IND22467,Joseph Austin,42,4425,18-12-1999,Chris Armstrong,American,Junior Executive,High,Platinum,143170.19,19029.60,2,243.35,900692.86,0.00,0.00,0.00,19859.80,992065.80,3,2,3,2,4
IND61104,Anne Richards,75,8672,05-09-1996,Bruce Porter,African,Staff Accountant II,Mid,Platinum,199127.91,21470.62,3,5785.64,347902.54,506306.83,148913.77,319668.23,20108.74,1500775.10,2,3,3,1,8
IND31340,Louis Rodriguez,57,19509,18-05-2009,Donald Reynolds,European,Accountant III,Mid,Jade,197866.91,33104.96,1,2800.28,642385.05,334596.57,185632.34,28738.64,12558.34,1158750.14,3,2,3,1,9
IND97227,Henry Roberts,54,32821,11-11-2008,Patrick Graham,American,Statistician II,Mid,Silver,71724.65,21190.16,1,1142.41,557275.17,108466.28,22308.67,67179.86,30545.45,887492.13,1,1,3,2,10
IND51772,Lillian GoPKRalez,22,26182,14-04-2005,Patrick Graham,Australian,Clinical Specialist,Low,Silver,433015.61,42292.65,2,1419.30,1396318.38,0.00,0.00,0.00,34695.58,1980823.97,3,3,4,1,11
IND97733,Katherine Lawson,47,41078,05-03-2009,Raymond Alexander,European,Accounting Assistant IV,High,Platinum,236954.14,21430.61,1,4829.32,742124.15,189929.59,101546.52,107263.21,22040.11,1824725.34,2,2,4,2,12
IND94420,Judith Jacobs,80,30428,03-09-2002,Joe Price,Asian,Registered Nurse,Mid,Jade,347506.83,56643.14,1,5535.39,1077668.47,228420.00,218037.27,50252.40,35022.86,1801444.09,1,3,1,1,13
IND23132,Arthur Ramos,48,33448,17-02-2020,Jesse Evans,European,Staff Accountant III,High,Platinum,81404.69,19174.00,1,977.71,171160.80,176184.24,116693.46,66149.17,6541.15,255239.99,3,1,2,2,14
IND37935,Thomas Palmer,76,21727,15-03-2000,Jonathan Hawkins,African,Health Coach II,High,Gold,184463.57,28482.35,1,8958.20,1013173.15,1997339.00,546035.12,641447.57,38482.78,1447952.71,0,2,3,2,15
IND82385,Phillip Kennedy,78,29634,09-06-2006,Ernest Rivera,Asian,Human Resources Assistant III,Mid,Jade,286833.79,24870.32,2,4559.81,689264.80,155881.11,86443.16,60793.63,33450.56,473631.36,0,2,4,1,1
IND70540,Daniel Jordan,55,19917,01-01-2017,Frank Brown,European,Junior Executive,High,Jade,234921.33,24974.26,1,7956.30,1236125.79,1166846.93,706531.17,363970.60,73406.25,534266.84,0,3,1,2,2
IND64051,Ruth Stone,82,36869,11-04-2020,Ernest Rivera,European,Programmer IV,Low,Silver,54580.10,10827.68,1,6272.78,985812.95,1484654.39,673708.72,539466.02,36491.59,1004302.95,2,2,1,2,3
IND29216,Rebecca Owens,53,19905,02-11-2013,Anthony Simpson,Asian,Senior Financial Analyst,Low,Silver,243019.98,47511.36,1,985.29,130808.17,302827.01,400347.58,72267.87,30474.44,654628.52,0,3,1,2,4
IND50658,Phillip Ryan,69,20625,20-02-2012,Bruce Porter,European,Accountant I,Low,Platinum,66144.86,11830.83,3,1875.46,247173.70,517617.75,222413.88,151039.24,30576.69,738236.51,2,1,2,2,5
IND98869,Kevin Ward,54,14471,27-07-2003,Nicholas Simmons,European,Human Resources Assistant I,Mid,Jade,44231.62,23320.44,2,778.03,448474.88,210065.07,169667.94,124557.81,7243.92,198561.45,2,2,2,2,6
IND26568,Cynthia Perkins,41,31363,03-02-2007,Anthony Simpson,Asian,Database Administrator I,Low,Platinum,262208.39,58676.56,1,634.14,53339.60,413171.42,191829.59,338505.45,22809.18,662886.04,2,3,3,2,7
IND21009,Charles Bryant,40,26056,10-09-2006,Chris Armstrong,European,Computer Systems Analyst III,High,Jade,162116.96,47411.65,2,2642.12,317002.40,524488.64,334361.51,183112.10,15214.68,1065429.56,1,2,3,2,8
IND21838,Andrew Cox,42,743,29-10-2009,Nicholas Simmons,African,Research Assistant I,Mid,Jade,98690.55,31774.63,1,2657.13,1579301.37,592875.77,228029.14,88171.27,100465.97,1242582.10,3,2,3,2,9
IND17701,Brian Ramos,73,2509,01-08-2006,Frank Brown,European,Safety Technician IV,Low,Gold,82414.38,15019.75,1,117.82,244323.64,170188.99,96968.14,54500.05,16683.57,487931.11,3,1,3,2,10
IND95185,Jimmy Willis,54,32700,20-08-2016,Anthony Berry,European,Administrative Officer,Mid,Gold,333873.97,40151.25,1,2673.45,976021.92,272917.58,169163.79,68229.40,48750.73,587022.39,0,3,3,1,11
IND99321,Mary Jenkins,25,6427,21-02-2011,Joshua Ryan,Asian,Research Assistant IV,High,Gold,101280.40,38744.80,2,4111.52,0.00,135513.26,117444.82,41406.83,34137.76,442229.94,2,3,3,1,12
IND93185,Robin Brown,38,30588,29-05-2013,Anthony Torres,European,Research Assistant I,Low,Jade,62546.72,27911.10,1,2793.88,329800.06,244297.86,217451.94,61208.70,11470.46,295167.65,0,1,3,2,13
IND43584,Brian Powell,42,10948,20-07-2006,Phillip Peters,European,Assistant Manager,High,Silver,323196.70,57873.27,1,4821.40,235971.06,449101.83,328993.20,146845.85,40135.69,1743999.58,1,4,4,1,14
IND19265,Dorothy Reyes,85,27891,09-10-2018,Raymond Alexander,Asian,Product Engineer,Low,Gold,163975.08,6904.38,1,908.41,514321.28,144554.63,118812.02,43564.41,16099.00,675986.97,3,2,4,1,15
IND81391,Ruby GoPKRalez,62,13537,18-06-2005,James Castillo,European,Sales Representative,Mid,Jade,402718.11,58736.61,1,4112.85,363138.89,476277.95,339266.48,341354.28,21843.91,693155.05,1,3,1,1,16
IND31357,Juan Cole,38,42047,08-10-2007,Chris Armstrong,American,Structural Analysis Engineer,High,Jade,192479.87,58742.30,1,7111.72,181420.65,1034707.97,808365.60,177840.43,499.49,292596.77,3,4,2,1,17
IND73056,Bobby Flores,76,19145,07-05-2016,Phillip Peters,African,Staff Accountant II,Mid,Jade,227250.89,46770.04,1,3155.84,251052.60,2109610.09,697244.01,1112372.37,37511.82,695101.00,0,5,3,2,18
IND70935,Denise Murray,41,16525,26-07-2017,Keith Griffin,Asian,Cost Accountant,Mid,Silver,76171.91,62695.19,2,4554.03,629673.70,333106.94,135872.57,302426.04,15128.28,921513.13,1,3,4,2,19
IND52716,Jeremy Morris,38,18803,30-04-2013,Nicholas Simmons,European,Safety Technician III,High,Gold,50643.44,15186.75,1,79.07,488341.35,136187.50,32425.60,63554.17,17281.85,59911.11,1,1,1,2,20
